,com
2071,51243
2072,86214
2073,97217
2074,62451
2075,77168
2076,88160
2077,91064
2078,1046
2079,1289
2080,6157
2081,59139
2082,76647
2083,86225
2084,45094
2085,42256
2086,14437
2087,67339
2088,73257
2089,26064
2090,18024
2091,51205
2092,13026
2093,33273
2094,42328
2095,74119
2096,59123
2097,59392
2098,47100
2099,10362
2100,57659
2101,27477
2102,37153
2103,7127
2104,1066
2105,30257
2106,68223
2107,53121
2108,44067
2109,22046
2110,67263
2111,40236
2112,95229
2113,95612
2114,64043
2115,59477
2116,30037
2117,57052
2118,33492
2119,26084
2120,72167
2121,89267
2122,21171
2123,2601
2124,66059
2125,1004
2126,95428
2127,71014
2128,40104
2129,58134
2130,72029
2131,37142
2132,97360
2133,31446
2134,55369
2135,34228
2136,35236
2137,7126
2138,89468
2139,97232
2140,71383
2141,89134
2142,2212
2143,78455
2144,45087
2145,38324
2146,28300
2147,71060
2148,77121
2149,3118
2150,22187
2151,33051
2152,14431
2153,93047
2154,11037
2155,14220
2156,25560
2157,22081
2158,3175
2159,71520
2160,30259
2161,68368
2162,25434
2163,69112
2164,56033
2165,17028
2166,11140
2167,3236
2168,54300
2169,77112
2170,60187
2171,74287
2172,24037
2173,44005
2174,26042
2175,33096
2176,56036
2177,54304
2178,33016
2179,98745
2180,16269
2181,67374
2182,38342
2183,83046
2184,10173
2185,64237
2186,13070
2187,88251
2188,53094
2189,47250
2190,28046
2191,44158
2192,43135
2193,13077
2194,69270
2195,34209
2196,68062
2197,59205
2198,39434
2199,81011
2200,51334
2201,47049
2202,95539
2203,33417
2204,21389
2205,50087
2206,29004
2207,78029
2208,80334
2209,17315
2210,21599
2211,3120
2212,79081
2213,97207
2214,22054
2215,7066
2216,45024
2217,97353
2218,56151
2219,76383
2220,59291
2221,76099
2222,22286
2223,14715
2224,28330
2225,66050
2226,2495
2227,62178
2228,26146
2229,86102
2230,11145
2231,45232
2232,40123
2233,38442
2234,67152
2235,71118
2236,44154
2237,51172
2238,57529
2239,22278
2240,72051
2241,78020
2242,69023
2243,64410
2244,2173
2245,27289
2246,10081
2247,82124
2248,80062
2249,71448
2250,62310
2251,37170
2252,1138
2253,91085
2254,77279
2255,14001
2256,7064
2257,29134
2258,13073
2259,2032
2260,62224
2261,42081
2262,77025
2263,17421
2264,6073
2265,95280
2266,67366
2267,69236
2268,95250
2269,27410
2270,21229
2271,64041
2272,6077
2273,79115
2274,44062
2275,95060
2276,59640
2277,95154
2278,28018
2279,77154
2280,30094
2281,1290
2282,1124
2283,40036
2284,201189
2285,73047
2286,49125
2287,42243
2288,14705
2289,1285
2290,16405
2291,8370
2292,68163
2293,22239
2294,78354
2295,85127
2296,60462
2297,39486
2298,34127
2299,91692
2300,51422
2301,66008
2302,62711
2303,31203
2304,61394
2305,39198
2306,31149
2307,22389
2308,91339
2309,24558
2310,64160
2311,89295
2312,57012
2313,42044
2314,57591
2315,43095
2316,76341
2317,18038
2318,57631
2319,60286
2320,36200
2321,62793
2322,80273
2323,85024
2324,11036
2325,42237
2326,57240
2327,68340
2328,25547
2329,74105
2330,49364
2331,78481
2332,29151
2333,67180
2334,70477
2335,42009
2336,56040
2337,38397
2338,24122
2339,59410
2340,16011
2341,62771
2342,54253
2343,88075
2344,80754
2345,76259
2346,87205
2347,51388
2348,49127
2349,44072
2350,26313
2351,72042
2352,55215
2353,84070
2354,65353
2355,56206
2356,86293
2357,66015
2358,69206
2359,14562
2360,68251
2361,74034
2362,60143
2363,38557
2364,70326
2365,29206
2366,97304
2367,41091
2368,33002
2369,68338
2370,44003
2371,62401
2372,76270
2373,10375
2374,88413
2375,36226
2376,74056
2377,29015
2378,73308
2379,51118
2380,91665
2381,30060
2382,37273
2383,91340
2384,78311
2385,28006
2386,50115
2387,54327
2388,62118
2389,21271
2390,60408
2391,38405
2392,51346
2393,65470
2394,97125
2395,1159
2396,26165
2397,77248
2398,56143
2399,32256
2400,17165
2401,62589
2402,30033
2403,70416
2404,63345
2405,14137
2406,37010
2407,16264
2408,14143
2409,59449
2410,8133
2411,76057
2412,31177
2413,24581
2414,78506
2415,31049
2416,17208
2417,27425
2418,42311
2419,76561
2420,17461
2421,64545
2422,1443
2423,44113
2424,79298
2425,77151
2426,78220
2427,67473
2428,84069
2429,50178
2430,68323
2431,37206
2432,91471
2433,98734
2434,201198
2435,78128
2436,47233
2437,3320
2438,39129
2439,78398
2440,97701
2441,44047
2442,31341
2443,77192
2444,74106
2445,60310
2446,80815
2447,60509
2448,22345
2449,78206
2450,22215
2451,29045
2452,71272
2453,81140
2454,69200
2455,49246
2456,43192
2457,78537
2458,17469
2459,17187
2460,79150
2461,8391
2462,2718
2463,45335
2464,69009
2465,31344
2466,24156
2467,97405
2468,74128
2469,54108
2470,39458
2471,4013
2472,85234
2473,62736
2474,93049
2475,52162
2476,22242
2477,57283
2478,54437
2479,13085
2480,70219
2481,3293
2482,90010
2483,89276
2484,73232
2485,14011
2486,30027
2487,29061
2488,34154
2489,97117
2490,74136
2491,37049
2492,60547
2493,38376
2494,41287
2495,56014
2496,66212
